"id","etag","selfLink","volumeInfo.title","volumeInfo.authors","volumeInfo.publisher","volumeInfo.publishedDate"
"6FuXRNUf0poC","2j/geMP7aNc","https://www.googleapis.com/books/v1/volumes/6FuXRNUf0poC","The Lemonade War","[""Jacqueline Davies""]","Houghton Mifflin Harcourt","2009"
"g-8ZDgAAQBAJ","RRvGTF1p/XY","https://www.googleapis.com/books/v1/volumes/g-8ZDgAAQBAJ","Soldados Razos at War","[""Steven Rosales""]","University of Arizona Press","2017-04-18"
"n6FvDgAAQBAJ","+dJ3lWHz0zU","https://www.googleapis.com/books/v1/volumes/n6FvDgAAQBAJ","Rails of War","[""Steven James Hantzis""]","U of Nebraska Press","2017"
"94nIAwAAQBAJ","8TpR2Vk/x2A","https://www.googleapis.com/books/v1/volumes/94nIAwAAQBAJ","Lincoln's Veteran Volunteers Win the War","[""D. Reid Ross""]","SUNY Press","2008-11-13"
"Kfl-8vMB0jEC","gOmwgGAs4yY","https://www.googleapis.com/books/v1/volumes/Kfl-8vMB0jEC","Cold War Radio","[""Richard H. Cummings""]","McFarland","2009-03-13"
"E569Q7s1CnsC","P3ErzvVbkJg","https://www.googleapis.com/books/v1/volumes/E569Q7s1CnsC","The Deceivers","[""Thaddeus Holt""]","Simon and Schuster","2010-05-11"
"lO-eCwAAQBAJ","0uFw/B0EPlg","https://www.googleapis.com/books/v1/volumes/lO-eCwAAQBAJ","Blackfoot War Art","[""L. James Dempsey""]","University of Oklahoma Press","2016-01-29"
"VRpiOdgkFDEC","Hs7hZD4qE+4","https://www.googleapis.com/books/v1/volumes/VRpiOdgkFDEC","The Lincoln County War","[""Frederick W. Nolan""]","Sunstone Press","2009"
"CvQ-sJGw3UcC","dHqzEAu+F/k","https://www.googleapis.com/books/v1/volumes/CvQ-sJGw3UcC","Cold War Progressives","[""Jacqueline L. Castledine""]","University of Illinois Press","2012"
"qMOTAgAAQBAJ","xbcaIH6E0EU","https://www.googleapis.com/books/v1/volumes/qMOTAgAAQBAJ","Hitler's Black Victims","[""Clarence Lusane""]","Routledge","2004-11-23"
